本國上市證券國際證券辨識號碼一覽表,,,,,,
,,,,,,
最近更新日期:2026/04/05,,,,,,
,,,,,,
掛牌日以正式公告為準,,,,,,
,,,,,,
,,,,,,
有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
股票,,,,,,
1101　台泥,TW0001101004,1962/2/9,上市,水泥工業,ESVUFR,
1102　亞泥,TW0001102002,1962/6/8,上市,水泥工業,ESVUFR,
1103　嘉泥,TW0001103000,1969/11/14,上市,水泥工業,ESVUFR,
1104　環泥,TW0001104008,1971/2/1,上市,水泥工業,ESVUFR,
1108　幸福,TW0001108009,1990/6/6,上市,水泥工業,ESVUFR,
1109　信大,TW0001109007,1991/12/5,上市,水泥工業,ESVUFR,
1110　東泥,TW0001110005,1994/10/22,上市,水泥工業,ESVUFR,
1201　味全,TW0001201002,1962/2/9,上市,食品工業,ESVUFR,
1203　味王,TW0001203008,1964/8/24,上市,食品工業,ESVUFR,
1210　大成,TW0001210003,1978/5/20,上市,食品工業,ESVUFR,
1213　大飲,TW0001213007,1981/4/10,上市,食品工業,ESVUFR,
1215　卜蜂,TW0001215002,1987/7/27,上市,食品工業,ESVUFR,
1216　統一,TW0001216000,1987/12/28,上市,食品工業,ESVUFR,
1217　愛之味,TW0001217008,1989/10/28,上市,食品工業,ESVUFR,
1218　泰山,TW0001218006,1989/11/11,上市,食品工業,ESVUFR,
1219　福壽,TW0001219004,1990/12/1,上市,食品工業,ESVUFR,
1220　台榮,TW0001220002,1991/11/20,上市,食品工業,ESVUFR,
1225　福懋油,TW0001225001,1993/9/27,上市,食品工業,ESVUFR,
1227　佳格,TW0001227007,1994/4/9,上市,食品工業,ESVUFR,
1229　聯華,TW0001229003,1976/7/19,上市,食品工業,ESVUFR,
1231　聯華食,TW0001231009,1995/11/2,上市,食品工業,ESVUFR,
1232　大統益,TW0001232007,1996/2/9,上市,食品工業,ESVUFR,
1233　天仁,TW0001233005,1999/1/20,上市,食品工業,ESVUFR,
1234　黑松,TW0001234003,1999/3/12,上市,食品工業,ESVUFR,
1235　興泰,TW0001235000,2000/9/11,上市,食品工業,ESVUFR,
1236　宏亞,TW0001236008,2001/9/17,上市,食品工業,ESVUFR,
1256　鮮活果汁-KY,KYG858681003,2016/3/17,上市,食品工業,ESVUFR,
1301　台塑,TW0001301000,1964/7/27,上市,塑膠工業,ESVUFR,
1303　南亞,TW0001303006,1967/11/5,上市,塑膠工業,ESVUFR,
1304　台聚,TW0001304004,1972/5/20,上市,塑膠工業,ESVUFR,
1305　華夏,TW0001305001,1973/3/5,上市,塑膠工業,ESVUFR,
1307　三芳,TW0001307007,1985/11/23,上市,塑膠工業,ESVUFR,
1308　亞聚,TW0001308005,1986/6/20,上市,塑膠工業,ESVUFR,
1309　台達化,TW0001309003,1986/6/27,上市,塑膠工業,ESVUFR,
1310　台苯,TW0001310001,1987/8/6,上市,塑膠工業,ESVUFR,
1312　國喬,TW0001312007,1988/12/21,上市,塑膠工業,ESVUFR,
1313　聯成,TW0001313005,1989/3/27,上市,塑膠工業,ESVUFR,
1314　中石化,TW0001314003,1991/7/12,上市,塑膠工業,ESVUFR,
1315　達新,TW0001315000,1992/5/9,上市,塑膠工業,ESVUFR,
1316　上曜,TW0001316008,1992/10/15,上市,建材營造業,ESVUFR,
1319　東陽,TW0001319002,1994/12/12,上市,汽車工業,ESVUFR,
1321　大洋,TW0001321008,1999/1/26,上市,塑膠工業,ESVUFR,
1323　永裕,TW0001323004,2000/9/11,上市,塑膠工業,ESVUFR,
1324　地球,TW0001324002,2000/9/11,上市,塑膠工業,ESVUFR,
1325　恆大,TW0001325009,2000/9/11,上市,塑膠工業,ESVUFR,
1326　台化,TW0001326007,1984/12/20,上市,塑膠工業,ESVUFR,
1337　再生-KY,KYG0539R1039,2011/7/1,上市,塑膠工業,ESVUFR,
1338　廣華-KY,KYG451001070,2012/12/19,上市,汽車工業,ESVUFR,
1339　昭輝,TW0001339000,2012/4/24,上市,汽車工業,ESVUFR,
1340　勝悅-KY,KYG935971054,2013/12/6,上市,塑膠工業,ESVUFR,
1341　富林-KY,KYG3730M1050,2018/12/24,上市,塑膠工業,ESVUFR,
1342　八貫,TW0001342004,2020/11/24,上市,其他業,ESVUFR,
1402　遠東新,TW0001402006,1967/4/14,上市,紡織纖維,ESVUFR,
1409　新纖,TW0001409001,1973/8/31,上市,紡織纖維,ESVUFR,
