Date,Sector_Name,Close
20260416,光電類指數,50.59
20260416,其他電子類指數,242.03
20260416,其他類指數,273.95
20260416,化學生技醫療類指數,140.8
20260416,化學類指數,182.45
20260416,半導體類指數,1240.16
20260416,塑膠化工類指數,779.6
20260416,塑膠類指數,210.42
20260416,寶島股價指數,41563.58
20260416,小型股300指數,12604.4
20260416,居家生活類指數,102.36
20260416,建材營造類指數,469.96
20260416,數位雲端類指數,35.38
20260416,未含金融指數,33424.43
20260416,未含金融電子指數,14308.49
20260416,未含電子指數,20449.73
20260416,機電類指數,12963.26
20260416,橡膠類指數,197.49
20260416,水泥窯製類指數,669.67
20260416,水泥類指數,125.8
20260416,汽車類指數,292.35
20260416,油電燃氣類指數,76.95
20260416,玻璃陶瓷類指數,160.06
20260416,生技醫療類指數,75.74
20260416,發行量加權股價指數,37132.02
20260416,紡織纖維類指數,468.58
20260416,綠能環保類指數,116.75
20260416,臺指反向一倍指數,1604.43
20260416,臺指日報酬兩倍指數,150156.78
20260416,臺灣50指數,34067.58
20260416,臺灣50權重上限30%指數,26841.52
20260416,臺灣中型100指數,30628.28
20260416,臺灣公司治理100指數,23155.78
20260416,臺灣就業99指數,21525.87
20260416,臺灣發達指數,16129.74
20260416,臺灣資訊科技指數,71267.41
20260416,臺灣高股息指數,11267.46
20260416,臺灣高薪100指數,16868.76
20260416,航運類指數,178.44
20260416,觀光餐旅類指數,103.94
20260416,貿易百貨類指數,238.1
20260416,資訊服務類指數,198.84
20260416,通信網路類指數,233.32
20260416,造紙類指數,256.12
20260416,運動休閒類指數,59.56
20260416,金融保險類指數,2505.68
20260416,鋼鐵類指數,119.32
20260416,電器電纜類指數,98.51
20260416,電子工業類指數,2349.49
20260416,電子通路類指數,347.39
20260416,電子零組件類指數,726.79
20260416,電子類兩倍槓桿指數,248193.17
20260416,電子類反向指數,1000.22
20260416,電機機械類指數,508.95
20260416,電腦及週邊設備類指數,336.59
20260416,食品類指數,1961.74
20260415,光電類指數,49.78
20260415,其他電子類指數,240.53
20260415,其他類指數,272.81
20260415,化學生技醫療類指數,140.52
20260415,化學類指數,184.56
20260415,半導體類指數,1229.92
20260415,塑膠化工類指數,768.96
20260415,塑膠類指數,205.14
20260415,寶島股價指數,41087.03
20260415,小型股300指數,12439.87
20260415,居家生活類指數,100.03
20260415,建材營造類指數,467.39
20260415,數位雲端類指數,34.91
20260415,未含金融指數,33045.73
20260415,未含金融電子指數,14195.06
20260415,未含電子指數,20290.95
20260415,機電類指數,12811.01
20260415,橡膠類指數,195.0
20260415,水泥窯製類指數,662.81
20260415,水泥類指數,124.51
20260415,汽車類指數,289.91
20260415,油電燃氣類指數,76.1
20260415,玻璃陶瓷類指數,158.43
20260415,生技醫療類指數,75.05
20260415,發行量加權股價指數,36722.14
20260415,紡織纖維類指數,465.75
20260415,綠能環保類指數,116.8
20260415,臺指反向一倍指數,1622.54
20260415,臺指日報酬兩倍指數,146877.98
20260415,臺灣50指數,33753.49
20260415,臺灣50權重上限30%指數,26431.46
20260415,臺灣中型100指數,30011.99
20260415,臺灣公司治理100指數,22948.55
20260415,臺灣就業99指數,21195.27
20260415,臺灣發達指數,15803.57
20260415,臺灣資訊科技指數,70623.11
20260415,臺灣高股息指數,11086.56
20260415,臺灣高薪100指數,16597.63
20260415,航運類指數,178.03
20260415,觀光餐旅類指數,104.96
20260415,貿易百貨類指數,236.95
20260415,資訊服務類指數,194.95
20260415,通信網路類指數,229.21
20260415,造紙類指數,256.46
20260415,運動休閒類指數,58.21
20260415,金融保險類指數,2486.85
20260415,鋼鐵類指數,119.49
20260415,電器電纜類指數,98.6
20260415,電子工業類指數,2321.71
20260415,電子通路類指數,343.69
20260415,電子零組件類指數,707.08
20260415,電子類兩倍槓桿指數,242392.56
20260415,電子類反向指數,1012.33
20260415,電機機械類指數,504.33
20260415,電腦及週邊設備類指數,330.09
20260415,食品類指數,1948.87
20260414,光電類指數,48.55
20260414,其他電子類指數,236.05
20260414,其他類指數,268.08
20260414,化學生技醫療類指數,139.77
20260414,化學類指數,183.99
20260414,半導體類指數,1213.97
20260414,塑膠化工類指數,778.96
20260414,塑膠類指數,211.46
20260414,寶島股價指數,40613.08
20260414,小型股300指數,12355.22
20260414,居家生活類指數,103.74
20260414,建材營造類指數,464.66
20260414,數位雲端類指數,35.13
20260414,未含金融指數,32642.69
20260414,未含金融電子指數,14178.79
20260414,未含電子指數,20241.33
20260414,機電類指數,12631.75
20260414,橡膠類指數,198.0
20260414,水泥窯製類指數,665.84
20260414,水泥類指數,126.48
20260414,汽車類指數,289.2
20260414,油電燃氣類指數,78.17
20260414,玻璃陶瓷類指數,156.18
20260414,生技醫療類指數,74.57
20260414,發行量加權股價指數,36296.12
20260414,紡織纖維類指數,467.28
20260414,綠能環保類指數,114.94
20260414,臺指反向一倍指數,1641.81
20260414,臺指日報酬兩倍指數,143509.15
20260414,臺灣50指數,33301.28
20260414,臺灣50權重上限30%指數,26044.57
20260414,臺灣中型100指數,29685.94
20260414,臺灣公司治理100指數,22660.01
20260414,臺灣就業99指數,21036.09
20260414,臺灣發達指數,15555.41
20260414,臺灣資訊科技指數,69667.57
20260414,臺灣高股息指數,10999.98
20260414,臺灣高薪100指數,16490.81
20260414,航運類指數,176.14
20260414,觀光餐旅類指數,105.0
20260414,貿易百貨類指數,234.07
20260414,資訊服務類指數,194.91
20260414,通信網路類指數,224.98
20260414,造紙類指數,256.05
20260414,運動休閒類指數,58.05
20260414,金融保險類指數,2475.81
20260414,鋼鐵類指數,121.08
20260414,電器電纜類指數,98.16
20260414,電子工業類指數,2289.64
20260414,電子通路類指數,341.34
20260414,電子零組件類指數,690.09
20260414,電子類兩倍槓桿指數,235787.41
20260414,電子類反向指數,1026.71
20260414,電機機械類指數,491.22
20260414,電腦及週邊設備類指數,332.39
20260414,食品類指數,1943.35
20260413,光電類指數,46.31
20260413,其他電子類指數,230.75
20260413,其他類指數,265.63
20260413,化學生技醫療類指數,138.46
20260413,化學類指數,182.52
20260413,半導體類指數,1177.26
20260413,塑膠化工類指數,757.97
20260413,塑膠類指數,201.43
20260413,寶島股價指數,39712.9
20260413,小型股300指數,12214.97
20260413,居家生活類指數,102.31
20260413,建材營造類指數,463.02
20260413,數位雲端類指數,34.87
20260413,未含金融指數,31852.83
20260413,未含金融電子指數,13984.35
20260413,未含電子指數,19992.2
20260413,機電類指數,12307.2
20260413,橡膠類指數,197.7
20260413,水泥窯製類指數,649.27
20260413,水泥類指數,126.31
20260413,汽車類指數,285.95
20260413,油電燃氣類指數,76.87
20260413,玻璃陶瓷類指數,145.99
20260413,生技醫療類指數,73.81
20260413,發行量加權股價指數,35457.29
20260413,紡織纖維類指數,461.03
20260413,綠能環保類指數,113.3
20260413,臺指反向一倍指數,1681.59
20260413,臺指日報酬兩倍指數,137025.78
20260413,臺灣50指數,32381.02
20260413,臺灣50權重上限30%指數,25418.72
20260413,臺灣中型100指數,29426.98
20260413,臺灣公司治理100指數,22080.89
20260413,臺灣就業99指數,20815.77
20260413,臺灣發達指數,15392.21
20260413,臺灣資訊科技指數,67607.15
20260413,臺灣高股息指數,10891.37
20260413,臺灣高薪100指數,16219.12
20260413,航運類指數,176.08
20260413,觀光餐旅類指數,105.99
20260413,貿易百貨類指數,232.29
20260413,資訊服務類指數,192.32
20260413,通信網路類指數,224.18
20260413,造紙類指數,256.36
20260413,運動休閒類指數,58.14
20260413,金融保險類指數,2450.7
20260413,鋼鐵類指數,120.2
20260413,電器電纜類指數,96.63
20260413,電子工業類指數,2230.67
20260413,電子通路類指數,340.6
20260413,電子零組件類指數,681.84
20260413,電子類兩倍槓桿指數,223946.89
20260413,電子類反向指數,1054.59
20260413,電機機械類指數,479.44
20260413,電腦及週邊設備類指數,326.03
20260413,食品類指數,1946.06
20260410,光電類指數,45.12
20260410,其他電子類指數,228.83
20260410,其他類指數,264.05
20260410,化學生技醫療類指數,137.96
20260410,化學類指數,179.54
20260410,半導體類指數,1176.55
20260410,塑膠化工類指數,733.26
20260410,塑膠類指數,188.63
20260410,寶島股價指數,39648.53
20260410,小型股300指數,12082.74
20260410,居家生活類指數,99.72
20260410,建材營造類指數,463.18
20260410,數位雲端類指數,35.1
20260410,未含金融指數,31791.64
20260410,未含金融電子指數,13813.55
20260410,未含電子指數,19910.53
20260410,機電類指數,12300.13
20260410,橡膠類指數,194.01
20260410,水泥窯製類指數,632.09
20260410,水泥類指數,126.89
20260410,汽車類指數,287.37
20260410,油電燃氣類指數,73.18
20260410,玻璃陶瓷類指數,133.8
20260410,生技醫療類指數,74.05
20260410,發行量加權股價指數,35417.83
20260410,紡織纖維類指數,461.13
20260410,綠能環保類指數,112.79
20260410,臺指反向一倍指數,1683.47
20260410,臺指日報酬兩倍指數,136721.13
20260410,臺灣50指數,32437.37
20260410,臺灣50權重上限30%指數,25386.66
20260410,臺灣中型100指數,29292.14
20260410,臺灣公司治理100指數,22141.29
20260410,臺灣就業99指數,20705.96
20260410,臺灣發達指數,15261.3
20260410,臺灣資訊科技指數,67733.87
20260410,臺灣高股息指數,10861.75
20260410,臺灣高薪100指數,16209.15
20260410,航運類指數,177.03
20260410,觀光餐旅類指數,103.73
20260410,貿易百貨類指數,234.19
20260410,資訊服務類指數,192.94
20260410,通信網路類指數,224.75
20260410,造紙類指數,256.43
20260410,運動休閒類指數,58.05
20260410,金融保險類指數,2471.28
20260410,鋼鐵類指數,119.62
20260410,電器電纜類指數,96.64
20260410,電子工業類指數,2229.83
20260410,電子通路類指數,332.83
20260410,電子零組件類指數,684.52
20260410,電子類兩倍槓桿指數,223778.29
20260410,電子類反向指數,1054.99
20260410,電機機械類指數,473.53
20260410,電腦及週邊設備類指數,328.77
20260410,食品類指數,1940.96
20260409,光電類指數,45.15
20260409,其他電子類指數,227.62
20260409,其他類指數,265.31
20260409,化學生技醫療類指數,136.22
20260409,化學類指數,175.3
20260409,半導體類指數,1152.7
20260409,塑膠化工類指數,737.63
20260409,塑膠類指數,193.34
20260409,寶島股價指數,39013.06
20260409,小型股300指數,11960.25
20260409,居家生活類指數,98.71
20260409,建材營造類指數,460.29
20260409,數位雲端類指數,35.04
20260409,未含金融指數,31228.21
20260409,未含金融電子指數,13813.2
20260409,未含電子指數,19970.96
20260409,機電類指數,12050.81
20260409,橡膠類指數,195.97
